1,Bitcoin,BTC,"$76,259.80",Non disponible,Non disponible,"$1,508,221,073,887","$64,059,335,520","19,779,065 BTC",2024-11-07 18:30:00
2,Ethereum,ETH,"$2,862.63",Non disponible,Non disponible,"$344,842,861,158","$34,097,204,971","120,419,290 ETH",2024-11-07 18:30:01
3,Tether,USDT,$1.00,Non disponible,Non disponible,"$121,495,862,862","$112,492,700,594","121,378,654,701 USDT",2024-11-07 18:30:01
4,Solana,SOL,$194.29,Non disponible,Non disponible,"$91,620,358,993","$4,600,545,993","471,574,051 SOL",2024-11-07 18:30:01
5,BNB,BNB,$599.14,Non disponible,Non disponible,"$86,335,786,265","$1,955,271,823","144,099,575 BNB",2024-11-07 18:30:01
6,USDC,USDC,$0.9998,0.01%,0.01%,"$36,693,518,687","$11,535,990,155","36,700,417,324 USDC",2024-11-07 18:30:01
7,XRP,XRP,$0.5525,Non disponible,Non disponible,"$31,422,666,858","$1,974,017,531","56,868,662,755 XRP",2024-11-07 18:30:01
8,Dogecoin,DOGE,$0.1948,Non disponible,Non disponible,"$28,583,042,557","$4,850,725,494","146,694,356,384 DOGE",2024-11-07 18:30:01
9,TRON,TRX,$0.1603,0.05%,2.04%,"$13,854,622,157","$427,861,490","86,428,665,018 TRX",2024-11-07 18:30:01
10,Cardano,ADA,$0.3927,Non disponible,Non disponible,"$13,744,998,180","$498,916,366","35,002,992,146 ADA",2024-11-07 18:30:01
11,Toncoin,TON,$4.91,Non disponible,Non disponible,"$12,497,070,849","$336,195,727","2,544,736,208 TON",2024-11-07 18:30:02
12,Avalanche,AVAX,$27.51,Non disponible,Non disponible,"$11,202,772,810","$487,507,276","407,204,094 AVAX",2024-11-07 18:30:02
13,Shiba Inu,SHIB,$0.00001894,Non disponible,Non disponible,"$11,163,050,491","$633,017,616","589,261,161,650,945 SHIB",2024-11-07 18:30:02
14,Chainlink,LINK,$12.52,Non disponible,Non disponible,"$7,847,984,368","$413,518,230","626,849,970 LINK",2024-11-07 18:30:02
15,Bitcoin Cash,BCH,$383.22,Non disponible,Non disponible,"$7,581,951,792","$357,254,491","19,785,097 BCH",2024-11-07 18:30:02
16,Sui,SUI,$2.34,Non disponible,Non disponible,"$6,662,906,904","$1,057,532,004","2,845,750,696 SUI",2024-11-07 18:30:02
17,Polkadot,DOT,$4.15,Non disponible,Non disponible,"$6,290,485,917","$216,840,302","1,515,582,653 DOT",2024-11-07 18:30:02
18,UNUS SED LEO,LEO,$6.06,Non disponible,0.27%,"$5,606,315,285","$14,081,999","924,997,442 LEO",2024-11-07 18:30:02
19,Uniswap,UNI,$9.14,Non disponible,1.40%,"$5,487,497,682","$543,766,504","600,425,074 UNI",2024-11-07 18:30:02
20,Litecoin,LTC,$72.04,Non disponible,Non disponible,"$5,414,997,259","$396,173,707","75,168,650 LTC",2024-11-07 18:30:02
21,Dai,DAI,$1.00,Non disponible,Non disponible,"$5,366,127,864","$201,260,809","5,365,382,703 DAI",2024-11-07 18:30:03
22,NEAR Protocol,NEAR,$4.23,Non disponible,Non disponible,"$5,150,226,053","$317,499,360","1,217,906,155 NEAR",2024-11-07 18:30:03
23,Aptos,APT,$9.79,Non disponible,Non disponible,"$5,087,592,117","$235,559,802","519,452,736 APT",2024-11-07 18:30:03
24,Pepe,PEPE,$0.00001053,Non disponible,Non disponible,"$4,428,217,012","$1,370,621,064","420,689,899,999,995 PEPE",2024-11-07 18:30:03
25,Bittensor,TAO,$519.57,Non disponible,Non disponible,"$3,834,939,334","$173,793,097","7,380,936 TAO",2024-11-07 18:30:03
26,Internet Computer,ICP,$7.72,0.07%,Non disponible,"$3,656,813,695","$139,757,389","473,936,785 ICP",2024-11-07 18:30:03
27,Artificial Superintelligence Alliance,FET,$1.42,0.51%,Non disponible,"$3,462,123,896","$194,340,768","2,434,491,752 FET",2024-11-07 18:30:03
28,Monero,XMR,$167.13,Non disponible,Non disponible,"$3,083,052,991","$61,168,062","18,446,744 XMR",2024-11-07 18:30:03
29,Ethereum Classic,ETC,$20.08,Non disponible,Non disponible,"$3,001,666,346","$227,553,532","149,453,616 ETC",2024-11-07 18:30:03
30,Kaspa,KAS,$0.1193,Non disponible,Non disponible,"$2,992,885,647","$99,226,506","25,089,884,893 KAS",2024-11-07 18:30:03
31,Stellar,XLM,$0.09984,Non disponible,Non disponible,"$2,975,713,202","$103,744,141","29,803,412,754 XLM",2024-11-07 18:30:04
32,Aave,AAVE,$186.69,Non disponible,Non disponible,"$2,795,623,676","$631,046,285","14,975,047 AAVE",2024-11-07 18:30:04
33,POL (ex-MATIC),POL,$0.3454,Non disponible,Non disponible,"$2,657,157,955","$111,143,005","7,692,706,425 POL",2024-11-07 18:30:04
34,Render,RENDER,$5.11,Non disponible,Non disponible,"$2,645,209,586","$230,506,941","517,690,747 RENDER",2024-11-07 18:30:04
35,Stacks,STX,$1.68,Non disponible,Non disponible,"$2,525,249,814","$100,880,499","1,499,753,981 STX",2024-11-07 18:30:04
36,OKB,OKB,$40.36,Non disponible,Non disponible,"$2,421,796,480","$6,500,616","60,000,000 OKB",2024-11-07 18:30:04
37,dogwifhat,WIF,$2.38,Non disponible,Non disponible,"$2,373,617,089","$468,140,679","998,845,349 WIF",2024-11-07 18:30:04
38,Cronos,CRO,$0.0891,Non disponible,Non disponible,"$2,367,453,012","$31,256,752","26,571,560,696 CRO",2024-11-07 18:30:04
39,First Digital USD,FDUSD,$0.9999,Non disponible,0.01%,"$2,347,068,011","$8,155,346,857","2,347,362,855 FDUSD",2024-11-07 18:30:04
40,Arbitrum,ARB,$0.5784,Non disponible,Non disponible,"$2,299,565,282","$418,266,889","3,975,409,060 ARB",2024-11-07 18:30:04
41,Filecoin,FIL,$3.77,Non disponible,Non disponible,"$2,250,537,516","$153,047,762","597,469,593 FIL",2024-11-07 18:30:05
42,Mantle,MNT,$0.6658,Non disponible,Non disponible,"$2,241,772,094","$111,539,438","3,366,841,708 MNT",2024-11-07 18:30:05
43,Celestia,TIA,$5.28,Non disponible,Non disponible,"$2,154,177,081","$214,843,346","408,053,616 TIA",2024-11-07 18:30:05
44,Injective,INJ,$21.41,Non disponible,Non disponible,"$2,116,249,572","$101,461,496","98,848,020 INJ",2024-11-07 18:30:05
